window_index,log_likelihood
222,-21.30978082361282
223,-17.676691157899402
224,-19.458223406059705
225,-19.55950778249653
226,-22.018123865850473
227,-21.4328074906163
228,-21.30978082361282
229,-22.624592240412614
230,-19.285039880343827
231,-22.124007298178043
232,-18.999376239205194
233,-24.00563809571541
234,-19.049361213056546
235,-19.98407542870092
236,-17.942598701597188
237,-19.98407542870092
238,-19.049361213056546
239,-19.98407542870092
240,-22.761160556215835
241,-19.387044555439672
242,-21.788749312591467
243,-17.493515195641898
244,-14.646979029340345
245,-17.976416719088537
246,-16.054077936377197
247,-15.809228604708345
248,-21.174288985357496
249,-24.290852113440604
250,-31.19223031090504
251,-21.47074137392652
252,-37.78575872392329
253,-13.515505146260672
254,-20.24834768326443
255,-19.583191875459352
256,-19.945842124768422
257,-19.60270420420366
258,-28.305351392184072
259,-21.20750182084849
260,-16.39716217897299
261,-32.52657497369486
262,-30.694733466797967
263,-25.086469741184228
264,-25.117114444376124
265,-25.117114444376124
266,-25.117114444376124
267,-24.82581642175234
268,-24.82581642175234
269,-24.82581642175234
270,-24.82581642175234
271,-24.82581642175234
272,-24.82581642175234
273,-24.82581642175234
274,-24.82581642175234
275,-23.11531024975793
276,-24.82581642175234
277,-24.82581642175234
278,-24.82581642175234
279,-18.915823802459478
280,-20.405148302930414
281,-19.547833272666065
282,-19.135315013349953
283,-17.177165518745575
284,-19.421758291770967
285,-15.81074187588939
286,-16.00518950376871
287,-14.724340300117605
288,-20.34534398999473
289,-21.605383032672364
290,-21.470032731316813
291,-21.30978082361282
292,-31.7207881253492
293,-21.215733351537324
294,-23.03229141616632
295,-21.55689516988259
296,-16.022132324980518
297,-34.044068666261175
298,-16.499197690900406
299,-56.60508241200555
300,-20.669320244569484
301,-18.992828088876983
302,-20.42372018576443
303,-20.588112458225112
304,-20.417817108940596
305,-18.637433524734103
306,-17.194679482117756
307,-20.247445514271103
308,-58.18414241191388
309,-58.18414241191388
310,-51.87073462552488
311,-55.02984919987158
312,-47.13173567959045
313,-15.964821226396412
314,-20.062369636856477
315,-13.969093714201414
316,-18.115642252100326
317,-17.934863617664906
318,-26.946574557330244
319,-34.436587242528624
320,-16.877077068146328
321,-15.881499998379306
322,-16.907422830653676
323,-16.83593284131338
324,-15.629060672709159
325,-15.881499998379306
326,-15.606785572369786
327,-15.522595501064709
328,-15.881499998379306
329,-15.606785572369786
330,-16.81672946923796
331,-15.881499998379306
332,-15.712430726025927
333,-15.712430726025927
334,-20.075792945168576
335,-30.804428517664203
336,-26.337335511348705
337,-23.813113907205263
338,-20.314532444008435
339,-17.36651169041816
340,-25.461627355557464
341,-21.326258818301522
342,-17.77916894192959
343,-21.09715352849237
344,-28.82047026248705
345,-26.59667199168347
346,-27.73621392500499
347,-15.894051988620063
348,-21.020947625207686
349,-25.07554184223713
350,-17.934863617664906
351,-16.218489469933587
352,-15.750593855073632
353,-19.91500048938011
354,-14.918454785563968
355,-19.389341321847972
356,-20.03038367860209
357,-15.818665025724505
358,-19.505563382912896
359,-22.007946390697295
360,-18.777590824520463
361,-17.19664310542154
362,-19.342529809655858
363,-24.060782259969084
364,-16.28149387394707
365,-14.1779289956521
366,-10.563250968823937
367,-27.382400077391242
368,-16.833992624295924
369,-27.159423157754084
370,-17.282404172193296
371,-18.642676800771284
372,-21.62097658200511
373,-20.186473754760907
374,-20.749084200817048
375,-21.174288985357496
376,-16.022132324980518
377,-21.215733351537324
378,-15.966605913105344
379,-20.370709992126976
380,-26.13068131858941
381,-15.099284032376373
382,-15.966605913105344
383,-37.725218478072236
384,-20.095120276589903
385,-19.639164317833053
386,-25.098893508426492
387,-25.928664630287024
388,-21.479539788904685
389,-19.464493729040704
390,-21.27897800701908
391,-20.855816672508684
392,-23.906624932546794
393,-20.8736852699908
394,-32.48356633817825
395,-22.796474677075345
396,-17.676691157899402
397,-20.749084200817048
398,-17.934863617664906
399,-21.723188191812497
400,-10.563250968823937
401,-19.976214812912556
402,-25.278957291894937
403,-27.38521514028598
404,-43.60506426546955
405,-43.60506426546955
406,-43.60506426546955
407,-43.60506426546955
408,-43.60506426546955
409,-43.60506426546955
410,-20.192227195893008
411,-20.65611331441844
412,-21.55689516988259
413,-23.08106714367476
414,-30.036796503663638
415,-24.150815109546624
416,-26.505385509545206
417,-17.584208608502518
418,-28.44803806135979
419,-23.748990297307692
420,-24.118882577884786
421,-27.236952164285626
422,-24.350489704543293
423,-20.77314213507799
424,-25.776109501768143
425,-23.915587528138566
426,-13.467512169336157
427,-13.467512169336157
428,-13.467512169336157
429,-13.467512169336157
430,-18.701089622265798
431,-20.89708259646288
432,-22.94637553373326
433,-28.42282221635702
434,-31.723007701707882
435,-16.717706133150614
436,-16.712608695321872
437,-18.516255138375907
438,-15.449221818437207
439,-15.613308294136955
440,-15.78040136807206
441,-15.623434081029611
442,-25.2749688427112
443,-26.656251011811435
444,-16.45783261602755
445,-15.41098209136839
446,-14.691185707480617
447,-15.449221818437207
448,-15.449221818437207
449,-17.817336821309333
450,-20.68986463395896
451,-19.28753849688053
452,-20.674723076534516
453,-20.543347008968517
454,-18.212403358610175
455,-20.417817108940596
456,-19.248783986839623
457,-19.112999596252138
458,-20.263725250138958
459,-20.417817108940596
460,-24.204110793668036
461,-20.68986463395896
462,-21.093398891219884
463,-21.30978082361282
464,-21.57445484561559
465,-9.9791086103912
466,-26.30000096643614
467,-28.222290930914717
468,-18.207383513915467
469,-25.543850811410646
470,-28.18384667851983
471,-19.918599993913745
472,-19.145341933970048
473,-19.477473916345037
474,-29.735650035429884
475,-21.09715352849237
476,-27.521127019468153
477,-21.09715352849237
478,-14.28848745130453
479,-21.09715352849237
480,-21.09715352849237
481,-30.34181224972662
482,-29.02414203362267
483,-30.34181224972662
484,-24.309460786020434
485,-27.51681643561877
486,-27.521127019468153
487,-30.440876311584674
488,-25.088076406847396
489,-25.088076406847396
490,-25.088076406847396
491,-25.12981573810809
492,-25.14640604364923
493,-25.086469741184228
494,-25.117114444376124
495,-25.14640604364923
496,-24.82581642175234
497,-25.086469741184228
498,-25.086469741184228
499,-25.12981573810809
500,-25.14640604364923
501,-24.82581642175234
