window_index,log_likelihood
378,-1.6229057312011719
379,-1.6491479873657227
380,-3.6360924243927
381,-0.932270348072052
382,-0.48641908168792725
383,-0.6139048933982849
384,-0.40151843428611755
385,-1.7251466512680054
386,-0.4043642580509186
387,-1.6186386346817017
388,-1.6121792793273926
389,-2.176325559616089
390,-0.13469798862934113
391,-0.13469798862934113
392,-0.13469798862934113
393,-0.13469798862934113
394,-0.13469798862934113
395,-0.06905525922775269
396,-1.5663119554519653
397,-0.5176924467086792
398,-1.5225428342819214
399,-0.34858694672584534
400,-2.593301296234131
401,-2.6344728469848633
402,-2.067945957183838
403,-2.311185598373413
404,-2.774698257446289
405,-3.0642309188842773
406,-3.874422073364258
407,-2.5203042030334473
408,-2.0474302768707275
409,-3.0324935913085938
410,-0.35205817222595215
411,-0.35205817222595215
412,-0.35205817222595215
413,-0.35205817222595215
414,-1.5666967630386353
415,-2.285188674926758
416,-2.180417060852051
417,-0.16618967056274414
418,-1.0186837911605835
419,-1.157159447669983
420,-2.1224277019500732
421,-2.3494815826416016
422,-1.9030030965805054
423,-1.6504340171813965
424,-1.471915602684021
425,-1.5035887956619263
426,-2.2669806480407715
427,-2.497572422027588
428,-1.5092406272888184
429,-1.7632278203964233
430,-1.6636043787002563
431,-1.6504340171813965
432,-1.6504340171813965
433,-1.6597189903259277
434,-1.0359402894973755
435,-1.1307716369628906
436,-1.6214669942855835
437,-1.2360730171203613
438,-1.375860571861267
439,-0.25982314348220825
440,-1.6483122110366821
441,-1.604549527168274
442,-0.25982314348220825
443,-2.1503124237060547
444,-1.0359402894973755
445,-2.056396007537842
446,-0.2846386432647705
447,-1.1581627130508423
448,-0.7185119986534119
449,-3.8070077896118164
450,-3.0634803771972656
451,-1.493845820426941
452,-1.8335585594177246
453,-3.5657265186309814
454,-1.6085201501846313
455,-1.42304265499115
456,-1.5976864099502563
457,-1.5217781066894531
458,-0.8988096117973328
459,-1.6413822174072266
460,-0.8988096117973328
461,-1.2750502824783325
462,-0.8988096117973328
463,-0.8988096117973328
464,-1.8569555282592773
465,-2.489508867263794
466,-1.8569555282592773
467,-1.678365707397461
468,-1.6510921716690063
469,-1.6413822174072266
470,-1.9528088569641113
471,-0.3852473795413971
472,-0.3852473795413971
473,-0.3852473795413971
474,-0.39995160698890686
475,-0.3933280408382416
476,-0.43553224205970764
477,-0.39995160698890686
478,-1.1677852869033813
479,-0.3933280408382416
480,-0.3933280408382416
481,-0.389105886220932
482,-0.39995160698890686
483,-1.1677852869033813
484,-0.3933280408382416
485,-0.8086575865745544
486,-0.07410723716020584
487,-1.6643600463867188
488,-2.320100784301758
489,-3.8970375061035156
490,-2.8199548721313477
491,-2.718564033508301
492,-0.9921478629112244
493,-2.587005376815796
494,-2.515439987182617
495,-5.208801746368408
496,-2.0355262756347656
497,-0.35205817222595215
498,-2.639587640762329
499,-0.6768441796302795
500,-1.1307716369628906
501,-1.2479203939437866
502,-0.009568222798407078
503,-0.009568222798407078
504,-0.009568222798407078
505,-0.009568222798407078
506,-0.009568222798407078
507,-0.009568222798407078
508,-0.009568222798407078
509,-2.1014628410339355
