window_index,negative_log_likelihood
814,3.7640631198883057
815,1.295156478881836
816,2.7935562133789062
817,0.24164950847625732
818,0.6613776087760925
819,0.6613776087760925
820,0.6613776087760925
821,1.6650047302246094
822,0.6613776087760925
823,0.6613776087760925
824,1.4280805587768555
825,1.4954947233200073
826,0.5989177227020264
827,0.944486141204834
828,0.30346375703811646
829,0.6613776087760925
830,3.0212490558624268
831,0.5080329775810242
832,0.25253358483314514
833,2.3916690349578857
834,0.24164950847625732
835,0.2824842035770416
836,0.25253358483314514
837,0.30346375703811646
838,1.1865334510803223
839,0.7708525061607361
840,2.7764203548431396
841,0.15500660240650177
842,0.470910906791687
843,0.470910906791687
844,0.470910906791687
845,0.470910906791687
846,0.470910906791687
847,0.470910906791687
848,0.470910906791687
849,2.5124399662017822
850,3.0849475860595703
851,2.7621660232543945
852,3.7442398071289062
853,1.6752454042434692
854,1.6627117395401
855,3.1231658458709717
856,1.7475358247756958
857,3.1087324619293213
858,1.8294405937194824
859,1.4266232252120972
860,1.74063241481781
861,0.1018427386879921
862,2.149315118789673
863,1.5850368738174438
864,0.21129465103149414
865,0.21129465103149414
866,0.21129465103149414
867,0.21129465103149414
868,0.21129465103149414
869,2.169595956802368
870,1.290123462677002
871,3.437199354171753
872,2.412252426147461
873,0.9446327686309814
874,1.9376417398452759
875,1.6624749898910522
876,0.30346375703811646
877,0.25253358483314514
878,3.023238182067871
879,5.31864595413208
880,1.1690587997436523
881,0.7708525061607361
882,1.0076289176940918
883,0.364477276802063
884,0.6934647560119629
885,0.5494733452796936
886,1.070189356803894
887,2.6700994968414307
888,1.5862822532653809
889,2.079493284225464
890,1.7880592346191406
891,2.708872079849243
892,2.0437777042388916
893,2.583061456680298
894,1.8046382665634155
895,2.583061456680298
896,1.599100947380066
897,2.097073793411255
898,1.599100947380066
899,0.5500918030738831
900,0.4457394778728485
901,1.4311872720718384
902,1.381568431854248
903,1.0850346088409424
904,0.9517931342124939
905,0.560975193977356
906,0.2824842035770416
907,0.9514055848121643
908,1.2067571878433228
909,1.1710184812545776
910,1.4967151880264282
911,1.5443652868270874
912,2.212052583694458
913,1.1710184812545776
914,2.0779693126678467
915,2.075526237487793
916,1.2556920051574707
917,2.065110921859741
918,2.2178759574890137
919,3.1138522624969482
920,2.574359893798828
921,1.771740436553955
922,3.1856181621551514
923,2.635838747024536
924,4.472723484039307
925,1.053744912147522
926,1.9663978815078735
927,1.9007220268249512
928,0.8732549548149109
929,1.5718674659729004
930,0.32850006222724915
931,3.1028053760528564
932,1.0614713430404663
933,1.2512028217315674
934,0.8602005839347839
935,1.2836556434631348
936,0.9007173180580139
937,3.132667303085327
938,0.9085848927497864
939,0.4090210199356079
940,4.129709720611572
941,0.04311465844511986
942,2.8661088943481445
943,0.5902464985847473
944,3.826805830001831
945,1.9522994756698608
946,2.705937623977661
947,2.999058961868286
948,2.3468780517578125
949,1.479217529296875
950,1.2175451517105103
951,1.2508456707000732
952,0.5500918030738831
953,0.7635135650634766
954,1.8529314994812012
955,0.9845549464225769
956,1.3680552244186401
957,0.8952897191047668
958,0.2694064676761627
959,0.7085551619529724
960,2.217217206954956
961,1.774971604347229
962,0.24164950847625732
963,1.2939659357070923
964,3.395416259765625
965,0.07948166131973267
966,0.07948166131973267
967,0.9611992835998535
968,0.5650294423103333
969,0.5080329775810242
970,2.1642725467681885
971,1.429618239402771
972,0.22880114614963531
973,1.6537971496582031
974,1.7982078790664673
975,0.22880114614963531
976,0.9611992835998535
977,2.8910043239593506
978,0.34797319769859314
979,0.09313901513814926
980,0.09313901513814926
981,0.34621426463127136
982,0.34621426463127136
983,0.34621426463127136
984,0.34621426463127136
985,0.34621426463127136
986,0.34621426463127136
987,0.34621426463127136
988,0.34621426463127136
989,2.8533966541290283
990,0.2694064676761627
991,1.7263375520706177
992,0.9300181865692139
993,1.824912190437317
994,0.22737520933151245
995,2.821546792984009
996,1.0076289176940918
997,1.9281907081604004
998,4.665302276611328
999,0.34621426463127136
1000,0.09313901513814926
1001,0.37540626525878906
1002,0.37540626525878906
1003,1.2110722064971924
1004,0.09313901513814926
1005,0.09313901513814926
1006,0.09313901513814926
1007,0.09313901513814926
1008,0.09313901513814926
1009,0.09313901513814926
1010,0.34956109523773193
1011,0.34956109523773193
1012,0.34956109523773193
1013,0.09313901513814926
1014,1.7167812585830688
1015,1.4158329963684082
1016,1.1403707265853882
1017,0.5978174805641174
1018,0.364477276802063
1019,0.9517931342124939
1020,2.5281050205230713
1021,0.5064607262611389
1022,0.5064607262611389
1023,0.5064607262611389
1024,2.270146131515503
1025,2.566173791885376
1026,1.1197808980941772
1027,2.293562173843384
1028,3.188230514526367
1029,2.605778932571411
1030,0.364477276802063
1031,5.700004577636719
1032,0.3432828485965729
1033,5.193883419036865
1034,3.5551207065582275
1035,3.101799726486206
1036,2.9076242446899414
1037,2.02936053276062
1038,1.6926411390304565
1039,2.0084900856018066
1040,3.006852388381958
1041,1.6780661344528198
1042,5.011127948760986
1043,1.652422547340393
1044,3.739285469055176
1045,0.32850006222724915
1046,0.7120940089225769
1047,0.26576700806617737
1048,0.364477276802063
1049,0.470910906791687
1050,1.290123462677002
1051,2.4242217540740967
1052,3.6832869052886963
1053,2.7112855911254883
1054,2.4354114532470703
1055,2.957139253616333
1056,4.676623344421387
1057,1.6641737222671509
1058,0.5500918030738831
1059,1.7757397890090942
1060,0.24164950847625732
1061,1.4103102684020996
1062,1.802870273590088
1063,0.8833087086677551
1064,7.4265875816345215
1065,1.5036331415176392
1066,1.3440474271774292
1067,2.733564615249634
1068,1.7810946702957153
1069,2.617840528488159
1070,0.8833087086677551
1071,2.5027554035186768
1072,2.7084083557128906
1073,2.604367733001709
1074,2.2078328132629395
1075,1.6782010793685913
1076,3.2610089778900146
1077,3.1891069412231445
1078,1.880794644355774
1079,2.473463773727417
1080,3.4091434478759766
1081,0.2747861444950104
1082,3.7170772552490234
1083,0.7635135650634766
1084,0.7318969368934631
1085,1.2118064165115356
1086,1.9477667808532715
1087,1.0102572441101074
1088,0.7635135650634766
1089,2.493948221206665
1090,1.3250104188919067
1091,1.094890832901001
1092,0.2824842035770416
1093,0.25253358483314514
1094,0.8309598565101624
1095,2.078749656677246
1096,0.6613776087760925
1097,0.9122582077980042
1098,0.6827271580696106
1099,1.8525662422180176
1100,3.7532598972320557
1101,1.5436981916427612
1102,1.6595975160598755
1103,2.682767629623413
1104,3.292611837387085
1105,1.7531288862228394
1106,1.6351808309555054
1107,3.1297805309295654
1108,1.811397910118103
1109,3.221261978149414
1110,0.32850006222724915
1111,0.6613776087760925
1112,0.32850006222724915
1113,0.32850006222724915
1114,0.32850006222724915
1115,1.6834014654159546
1116,1.3041764497756958
1117,1.6315444707870483
1118,1.3041764497756958
1119,1.3041764497756958
1120,1.3041764497756958
1121,1.3041764497756958
1122,1.3041764497756958
1123,1.6315444707870483
1124,1.6315444707870483
1125,1.6315444707870483
1126,0.896019697189331
1127,0.2694064676761627
1128,1.606423258781433
1129,0.5080329775810242
1130,2.832547426223755
1131,0.9122582077980042
1132,2.9569807052612305
1133,2.2402853965759277
1134,1.1710184812545776
1135,2.417670726776123
1136,2.1644506454467773
1137,3.173527717590332
1138,1.2107272148132324
1139,0.6613776087760925
1140,0.32850006222724915
1141,0.32850006222724915
1142,0.32850006222724915
1143,0.32850006222724915
1144,1.1817208528518677
1145,1.2853772640228271
1146,1.2424426078796387
1147,1.1603050231933594
1148,0.861764669418335
1149,1.1016346216201782
1150,0.888573169708252
1151,1.1817208528518677
1152,0.6987007260322571
1153,0.7181373238563538
1154,4.028888702392578
1155,1.4515329599380493
1156,1.4287681579589844
1157,1.307552456855774
1158,1.168648362159729
1159,3.695911169052124
1160,3.148040771484375
1161,3.7054977416992188
1162,1.0339726209640503
1163,1.1953479051589966
1164,0.8067825436592102
1165,1.3811265230178833
1166,1.1812714338302612
1167,1.1812714338302612
1168,1.240206241607666
1169,2.5142972469329834
1170,1.3007488250732422
1171,2.4350497722625732
1172,2.5047082901000977
1173,0.6613776087760925
1174,0.6613776087760925
1175,0.6613776087760925
1176,1.5136090517044067
1177,0.6613776087760925
1178,0.6613776087760925
1179,3.1650688648223877
1180,2.0749900341033936
1181,1.9974342584609985
1182,0.7265103459358215
1183,1.2098077535629272
1184,3.1582252979278564
1185,0.6613776087760925
1186,1.6181702613830566
1187,0.6613776087760925
1188,0.32850006222724915
1189,2.1519947052001953
1190,0.8456084132194519
1191,2.298529863357544
1192,0.6613776087760925
1193,0.6613776087760925
1194,2.1945858001708984
1195,0.364477276802063
1196,3.9902970790863037
1197,2.027336359024048
1198,2.356531858444214
1199,1.7674022912979126
1200,1.799516201019287
1201,2.6420934200286865
1202,1.7674022912979126
1203,5.263345241546631
1204,1.1244032382965088
1205,3.3176231384277344
1206,1.0406204462051392
1207,1.5993345975875854
1208,1.8269633054733276
1209,4.222090244293213
1210,0.6613776087760925
1211,0.32850006222724915
1212,2.0903985500335693
1213,0.6613776087760925
1214,0.6613776087760925
1215,0.6613776087760925
1216,0.19921369850635529
1217,0.8357922434806824
1218,0.7840191721916199
1219,2.6502323150634766
1220,2.2198922634124756
1221,2.235743761062622
1222,1.9322733879089355
1223,0.1018427386879921
1224,0.9007173180580139
1225,1.961686611175537
1226,0.9609987735748291
1227,0.7216121554374695
1228,1.3504678010940552
1229,0.8833087086677551
